Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Central African Republic,CAF,,50.21698,52.78938,55.08126,,,,51.47923,51.41989,,,56.61351,58.42162,60.29616,,,63.54782,52.83386,50.48016,50.49021,59.56512,54.79732,,,,,,,,,,,,,,47.62176,47.84438,55.57831,64.14315,64.27065,,64.17063,,,,,,,,,
Chad,TCD,,,,,,24.17626,,24.70997,,,,,,,,,,,33.31495,,,,,,,,37.29169,42.63793,47.79499,49.70123,51.36792,52.57533,56.06618,57.60047,,,,,,,,62.38415,,78.13257,,79.35908,73.4665,,,,
Chile,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.54645,96.10264,94.51682,95.47992,94.82224,94.53819,93.687,93.45821,93.47354,94.04385,94.77589,,,
China,CHN,,,,,,,,,,,,,,,,,,92.8452,94.5802,96.13547,96.87553,96.82433,95.8694,94.73328,93.10675,91.30103,90.04399,89.34889,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,,,,,,,,,,,,,72.869,,71.16851,70.04073,68.0572,68.84319,68.74748,68.86982,,71.93849,79.96265,80.63068,81.36268,84.46672,89.27669,,95.15108,96.34386,96.76601,94.8532,95.91679,,94.55713,97.36612,96.31078,95.70891,,,,,95.24385,92.79763,92.90561,96.38124,95.42469,97.34596,97.75807,,
Comoros,COM,,,,,,,,,,,,,,87.33049,,,83.48228,75.62852,,,,,,,69.22219,,,,,61.04319,67.49473,,,,,,,79.17413,,,,,,86.71476,82.7174,,,84.18473,81.73896,,
"Congo, Dem. Rep.",COD,,69.31444,67.56063,,,70.22047,,,,73.19495,,,,75.68216,76.29949,,,,64.55159,,,61.43332,59.74284,58.69954,59.8877,67.86944,,,,36.80411,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,,,82.75873,,89.02264,,91.71364,,95.16705,95.42693,87.30894,86.29629,86.91915,87.41115,88.67924,,,,,,,,,,,,,,,,,,,,,51.82475,55.27637,,,,86.245,,89.29422,,,,,,,,
Costa Rica,CRI,85.47143,,87.99677,89.38068,,90.45446,92.63459,,91.58518,90.11473,90.0067,90.38827,88.50526,,,85.62774,86.46311,86.5685,,86.84742,86.79922,87.26552,89.03262,89.38238,88.44138,89.54187,91.47044,,,,,,,,,,,,,,,99.43417,99.46534,98.89928,97.21585,97.81775,98.36736,96.55127,97.40817,,
Cote d'Ivoire,CIV,,,,,,,,50.85929,,,,,,,,,,,,,,49.10346,49.3883,,,,54.68437,55.69958,,57.5195,56.50839,60.60849,60.66286,56.0829,,,,,,55.83834,,,,68.27574,72.85662,76.73595,86.90249,88.60837,93.69235,,
Croatia,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.99954,92.57827,93.90671,96.16543,98.28153,99.73383,,98.94433,98.92718,98.86815,97.20316,91.49942,94.75687,96.97216,98.57631,98.27228,98.40374,98.49112,97.85166,97.9936,,,
Cuba,CUB,,,93.86251,95.14198,95.97773,,,,,98.66038,97.77162,95.07437,93.56775,93.37664,91.76272,90.04994,90.46027,92.09755,92.01383,92.23341,91.9294,91.62777,93.92801,94.79615,97.06529,96.89418,98.80478,98.59347,98.64079,99.38004,99.56287,99.57259,99.75433,98.53063,98.08077,97.15545,96.23339,97.09571,97.00971,98.54049,99.16357,98.74034,97.99625,97.98416,95.07011,94.08411,94.53374,95.68529,97.84442,,
Cyprus,CYP,,79.73376,78.37997,78.27648,77.64639,71.21885,68.99792,68.07847,68.85246,69.57221,68.73242,71.21244,67.93621,68.09789,68.37382,69.16519,73.80319,77.85594,79.33486,79.45967,78.82103,79.15245,77.36127,97.62945,96.91663,96.213,96.11728,96.28477,,97.99126,98.06997,97.5396,98.50694,98.63524,98.76019,99.66204,99.52019,99.34184,98.96124,99.14474,99.2851,99.28009,98.17635,97.49437,97.13529,97.82834,97.0838,97.77608,,,
Czech Republic,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.06554,,,,,,,,89.22807,88.6485,88.93261,88.90553,88.01214,88.25749,87.97057,88.12456,88.69953,88.80417,89.35757,,,
Denmark,DNK,,,,,,,,,,,,95.47403,96.29635,98.00094,98.96528,98.77726,98.68262,98.86003,98.97548,97.79877,97.68508,98.25418,97.43151,96.96003,98.68842,98.27815,98.14876,,99.44284,99.78754,98.10583,99.84693,99.86065,,98.25845,96.15496,96.50242,97.05026,96.51105,96.43092,96.27071,97.75173,98.23712,98.64626,98.35909,98.68864,99.0209,98.86326,,,
Djibouti,DJI,,,,,,,,,,,,,,,,25.13891,26.71036,26.89379,26.77046,26.73386,27.19719,27.2619,28.46114,26.21071,27.08583,28.14266,28.11271,27.03833,,26.86259,27.03563,29.71355,31.34215,,35.30679,,39.88965,43.9415,48.01862,47.98952,,58.5606,,58.87689,67.529,60.7187,57.24558,59.96579,62.10696,67.02502,
